x,y
54,30
52,31
54,31
42,32
43,32
50,32
51,32
64,32
65,32
41,33
45,33
50,33
51,33
64,33
65,33
30,34
31,34
40,34
46,34
50,34
51,34
30,35
31,35
40,35
44,35
46,35
47,35
52,35
54,35
40,36
46,36
54,36
41,37
45,37
42,38
43,38
301,200
302,200
300,201
301,201
301,202
401,150
403,151
400,152
401,152
404,152
405,152
406,152
151,400
152,401
150,402
151,402
152,402
552,100
553,100
554,100
558,100
559,100
560,100
550,102
555,102
557,102
562,102
550,103
555,103
557,103
562,103
550,104
555,104
557,104
562,104
552,105
553,105
554,105
558,105
559,105
560,105
552,107
553,107
554,107
558,107
559,107
560,107
550,108
555,108
557,108
562,108
550,109
555,109
557,109
562,109
550,110
555,110
557,110
562,110
552,112
553,112
554,112
558,112
559,112
560,112
200,350
201,350
202,350
580,400
581,400
580,401
581,401
601,200
602,201
600,202
601,202
602,202
456,300
450,301
451,301
451,302
455,302
456,302
457,302
402,350
407,350
400,351
401,351
403,351
404,351
405,351
406,351
408,351
409,351
402,352
407,351


380, 520
381, 520
382, 523

480, 3
482, 3
481, 2
481, 4

480, 7
482, 7
481, 6
481, 8

483, 4
485, 4
484, 3
484, 5

